position,code,designer,name,fragrantica_reference,perfumoteca_lookup_key,provider_lookup,status,confidence,review_notes
151,CP02317,HUGO BOSS,BOSS BOTTLED UNLIMITED MATS HUMMELS EDITION,https://www.fragrantica.com/search/?query=HUGO+BOSS+BOSS+BOTTLED+UNLIMITED+MATS+HUMMELS+EDITION,CP02317,https://glass-essence.com/?s=CP02317&post_type=product,review,medium,Edición Mats Hummels; identidad confirmada por nombre e imagen. La clave del proveedor conserva la referencia olfativa de Boss Bottled Unlimited.
152,CP01411,HUGO BOSS,BOSS ELEMENTS,https://www.fragrantica.com/search/?query=HUGO+BOSS+BOSS+ELEMENTS,CP01411,https://glass-essence.com/?s=CP01411&post_type=product,review,medium,
153,CP00752,HUGO BOSS,BOSS IN MOTION,https://www.fragrantica.com/search/?query=HUGO+BOSS+BOSS+IN+MOTION,CP00752,https://glass-essence.com/?s=CP00752&post_type=product,review,medium,
154,CP01050,HUGO BOSS,BOSS ORANGE FOR MEN,https://www.fragrantica.com/search/?query=HUGO+BOSS+BOSS+ORANGE+FOR+MEN,CP01050,https://glass-essence.com/?s=CP01050&post_type=product,review,medium,
155,CP02156,HUGO BOSS,BOSS THE SCENT,https://www.fragrantica.com/search/?query=HUGO+BOSS+BOSS+THE+SCENT,CP02156,https://glass-essence.com/?s=CP02156&post_type=product,review,medium,
156,CP02871,HUGO BOSS,BOSS THE SCENT ELIXIR FOR HER,https://www.fragrantica.com/search/?query=HUGO+BOSS+BOSS+THE+SCENT+ELIXIR+FOR+HER,CP02871,https://glass-essence.com/?s=CP02871&post_type=product,review,low,"La imagen corresponde a Boss The Scent Elixir For Her, aunque el catálogo operativo la ubica en Caballero. Conservar en review para corregir audiencia sin romper el catálogo."
157,CP02367,HUGO BOSS,BOSS THE SCENT LE PARFUM FOR HIM,https://www.fragrantica.com/search/?query=HUGO+BOSS+BOSS+THE+SCENT+LE+PARFUM+FOR+HIM,CP02367,https://glass-essence.com/?s=CP02367&post_type=product,review,medium,
158,CP02479,HUGO BOSS,BOTTLED ABSOLU,https://www.fragrantica.com/search/?query=HUGO+BOSS+BOTTLED+ABSOLU,CP02479,https://glass-essence.com/?s=CP02479&post_type=product,review,medium,
159,CP00850,HUGO BOSS,HUGO,https://www.fragrantica.com/search/?query=HUGO+BOSS+HUGO,CP00850,https://glass-essence.com/?s=CP00850&post_type=product,review,medium,
160,CP00848,HUGO BOSS,HUGO DARK BLUE,https://www.fragrantica.com/search/?query=HUGO+BOSS+HUGO+DARK+BLUE,CP00848,https://glass-essence.com/?s=CP00848&post_type=product,review,medium,
161,CP00851,HUGO BOSS,HUGO ENERGISE,https://www.fragrantica.com/search/?query=HUGO+BOSS+HUGO+ENERGISE,CP00851,https://glass-essence.com/?s=CP00851&post_type=product,review,medium,
162,CP02207,HUGO BOSS,HUGO ICED,https://www.fragrantica.com/search/?query=HUGO+BOSS+HUGO+ICED,CP02207,https://glass-essence.com/?s=CP02207&post_type=product,review,medium,
163,CP02468,HUGO BOSS,HUGO INTENSE,https://www.fragrantica.com/search/?query=HUGO+BOSS+HUGO+INTENSE,CP02468,https://glass-essence.com/?s=CP02468&post_type=product,review,medium,
164,CP02424,HUGO BOSS,HUGO JEANS MAN,https://www.fragrantica.com/search/?query=HUGO+BOSS+HUGO+JEANS+MAN,CP02424,https://glass-essence.com/?s=CP02424&post_type=product,review,medium,
165,CP00849,HUGO BOSS,HUGO JUST DIFERENT,https://www.fragrantica.com/search/?query=HUGO+BOSS+HUGO+JUST+DIFERENT,CP00849,https://glass-essence.com/?s=CP00849&post_type=product,review,medium,
166,CP00871,ISSEY MIYAKE,L'EAU D'ISSEY POUR HOMME,https://www.fragrantica.com/search/?query=ISSEY+MIYAKE+L%27EAU+D%27ISSEY+POUR+HOMME,CP00871,https://glass-essence.com/?s=CP00871&post_type=product,review,medium,
167,CP02319,JEAN PAUL GAULTIER,LE BEAU,https://www.fragrantica.com/search/?query=JEAN+PAUL+GAULTIER+LE+BEAU,CP02319,https://glass-essence.com/?s=CP02319&post_type=product,review,medium,
168,CP02500,JEAN PAUL GAULTIER,LE BEAU FLOWER EDITION,https://www.fragrantica.com/search/?query=JEAN+PAUL+GAULTIER+LE+BEAU+FLOWER+EDITION,CP02500,https://glass-essence.com/?s=CP02500&post_type=product,review,medium,
169,CP02509,JEAN PAUL GAULTIER,LE BEAU PARADISE GARDEN,https://www.fragrantica.com/search/?query=JEAN+PAUL+GAULTIER+LE+BEAU+PARADISE+GARDEN,CP02509,https://glass-essence.com/?s=CP02509&post_type=product,review,medium,
170,CP00879,JEAN PAUL GAULTIER,LE MALE,https://www.fragrantica.com/search/?query=JEAN+PAUL+GAULTIER+LE+MALE,CP00879,https://glass-essence.com/?s=CP00879&post_type=product,review,medium,
171,CP02475,JEAN PAUL GAULTIER,LE MALE ELIXIR,https://www.fragrantica.com/search/?query=JEAN+PAUL+GAULTIER+LE+MALE+ELIXIR,CP02475,https://glass-essence.com/?s=CP02475&post_type=product,review,medium,
