position,code,designer,name,fragrantica_reference,perfumoteca_lookup_key,provider_lookup,status,confidence,review_notes
451,DP02868,RABANNE,FAME COUTURE,https://www.fragrantica.com/search/?query=RABANNE+FAME+COUTURE,DP02868,https://glass-essence.com/?s=DP02868&post_type=product,review,medium,Edición reciente; validar la pirámide exacta por clave antes de cerrar review.
452,DP02210,RABANNE,LADY MILLION,https://www.fragrantica.com/search/?query=RABANNE+LADY+MILLION,DP02210,https://glass-essence.com/?s=DP02210&post_type=product,review,medium,
453,DP02704,RABANNE,LADY MILLION FABULOUS,https://www.fragrantica.com/search/?query=RABANNE+LADY+MILLION+FABULOUS,DP02704,https://glass-essence.com/?s=DP02704&post_type=product,review,medium,
454,DP02477,RABANNE,LADY MILLION LUCKY,https://www.fragrantica.com/search/?query=RABANNE+LADY+MILLION+LUCKY,DP02477,https://glass-essence.com/?s=DP02477&post_type=product,review,medium,
455,DP02724,RABANNE,LADY MILLION ROYAL,https://www.fragrantica.com/search/?query=RABANNE+LADY+MILLION+ROYAL,DP02724,https://glass-essence.com/?s=DP02724&post_type=product,review,medium,
456,DP02864,RABANNE,MILLION GOLD FOR HER,https://www.fragrantica.com/search/?query=RABANNE+MILLION+GOLD+FOR+HER,DP02864,https://glass-essence.com/?s=DP02864&post_type=product,review,medium,Lanzamiento reciente; notas contrastadas con comunicación oficial y fuentes especializadas.
457,DP02349,RABANNE,OLYMPÉA,https://www.fragrantica.com/search/?query=RABANNE+OLYMP%C3%89A,DP02349,https://glass-essence.com/?s=DP02349&post_type=product,review,medium,
458,DP02674,RABANNE,OLYMPÉA SOLAR,https://www.fragrantica.com/search/?query=RABANNE+OLYMP%C3%89A+SOLAR,DP02674,https://glass-essence.com/?s=DP02674&post_type=product,review,medium,
459,DP01334,RABANNE,ULTRAVIOLET,https://www.fragrantica.com/search/?query=RABANNE+ULTRAVIOLET,DP01334,https://glass-essence.com/?s=DP01334&post_type=product,review,medium,
460,DP01277,RALPH LAUREN,RALPH,https://www.fragrantica.com/search/?query=RALPH+LAUREN+RALPH,DP01277,https://glass-essence.com/?s=DP01277&post_type=product,review,medium,
461,DP02304,RALPH LAUREN,RALPH FRESH,https://www.fragrantica.com/search/?query=RALPH+LAUREN+RALPH+FRESH,DP02304,https://glass-essence.com/?s=DP02304&post_type=product,review,medium,
462,DP02369,RHIANA,RIRI,https://www.fragrantica.com/search/?query=RHIANA+RIRI,DP02369,https://glass-essence.com/?s=DP02369&post_type=product,review,medium,
463,DP02808,SABRINA CARPENTER,SWEET THOOTH,https://www.fragrantica.com/search/?query=SABRINA+CARPENTER+SWEET+THOOTH,DP02808,https://glass-essence.com/?s=DP02808&post_type=product,review,medium,
464,DP02880,SABRINA CARPENTER,SWEET THOOTH ME ESPRESSO,https://www.fragrantica.com/search/?query=SABRINA+CARPENTER+SWEET+THOOTH+ME+ESPRESSO,DP02880,https://glass-essence.com/?s=DP02880&post_type=product,review,medium,Nombre del catálogo contiene “Thooth”; conservar identidad operativa y revisar ortografía pública contra ficha exacta.
465,DP02363,SELENA GOMEZ,SELENA GOMEZ EAU DE PARFUM,https://www.fragrantica.com/search/?query=SELENA+GOMEZ+SELENA+GOMEZ+EAU+DE+PARFUM,DP02363,https://glass-essence.com/?s=DP02363&post_type=product,review,medium,
466,DP02273,SELENA GOMEZ,VIVAMORE,https://www.fragrantica.com/search/?query=SELENA+GOMEZ+VIVAMORE,DP02273,https://glass-essence.com/?s=DP02273&post_type=product,review,medium,
467,DP02863,TOMMY HILFIGER,TOMMY GIRL FOREVER,https://www.fragrantica.com/search/?query=TOMMY+HILFIGER+TOMMY+GIRL+FOREVER,DP02863,https://glass-essence.com/?s=DP02863&post_type=product,review,medium,
468,DP02643,TOUS,LOVEME THE ONYX PARFUM,https://www.fragrantica.com/search/?query=TOUS+LOVEME+THE+ONYX+PARFUM,DP02643,https://glass-essence.com/?s=DP02643&post_type=product,review,medium,
469,DP01410,TOUS,TOUS,https://www.fragrantica.com/search/?query=TOUS+TOUS,DP01410,https://glass-essence.com/?s=DP01410&post_type=product,review,medium,
470,DP02882,VALENTINO,BORN IN ROMA EXTRADOSE DONNA,https://www.fragrantica.com/search/?query=VALENTINO+BORN+IN+ROMA+EXTRADOSE+DONNA,DP02882,https://glass-essence.com/?s=DP02882&post_type=product,review,medium,Lanzamiento 2025; validar concentración y pirámide exacta con sitio oficial.
471,DP02753,VALENTINO,VALENTINO DONNA BORN IN ROMA,https://www.fragrantica.com/search/?query=VALENTINO+VALENTINO+DONNA+BORN+IN+ROMA,DP02753,https://glass-essence.com/?s=DP02753&post_type=product,review,medium,
472,DP02839,VALENTINO,VALENTINO DONNA BORN IN ROMA GREEN STRAVAGANZA,https://www.fragrantica.com/search/?query=VALENTINO+VALENTINO+DONNA+BORN+IN+ROMA+GREEN+STRAVAGANZA,DP02839,https://glass-essence.com/?s=DP02839&post_type=product,review,medium,
473,DP02757,VALENTINO,VALENTINO DONNA BORN IN ROMA INTENSE,https://www.fragrantica.com/search/?query=VALENTINO+VALENTINO+DONNA+BORN+IN+ROMA+INTENSE,DP02757,https://glass-essence.com/?s=DP02757&post_type=product,review,medium,
474,DP02226,VERSACE,BRIGHT CRYSTAL,https://www.fragrantica.com/search/?query=VERSACE+BRIGHT+CRYSTAL,DP02226,https://glass-essence.com/?s=DP02226&post_type=product,review,medium,
475,DP02857,VERSACE,CRYSTAL NOIR PARFUM,https://www.fragrantica.com/search/?query=VERSACE+CRYSTAL+NOIR+PARFUM,DP02857,https://glass-essence.com/?s=DP02857&post_type=product,review,medium,
476,DP02302,VERSACE,EROS POUR FEMME,https://www.fragrantica.com/search/?query=VERSACE+EROS+POUR+FEMME,DP02302,https://glass-essence.com/?s=DP02302&post_type=product,review,medium,
477,DP02600,VERSACE,VERSACE POUR FEMME DYLAN TURQUOISE,https://www.fragrantica.com/search/?query=VERSACE+VERSACE+POUR+FEMME+DYLAN+TURQUOISE,DP02600,https://glass-essence.com/?s=DP02600&post_type=product,review,medium,
478,DP02177,VERSACE,VERSENSE,https://www.fragrantica.com/search/?query=VERSACE+VERSENSE,DP02177,https://glass-essence.com/?s=DP02177&post_type=product,review,medium,
479,DP02262,VERSACE,YELLOW DIAMOND,https://www.fragrantica.com/search/?query=VERSACE+YELLOW+DIAMOND,DP02262,https://glass-essence.com/?s=DP02262&post_type=product,review,medium,
480,DP02833,VICTORIA´S SECRET,AQUA KISS,https://www.fragrantica.com/search/?query=VICTORIA%C2%B4S+SECRET+AQUA+KISS,DP02833,https://glass-essence.com/?s=DP02833&post_type=product,review,low,Body mist con información variable por edición; confirmar fórmula exacta por clave.
481,DP02736,VICTORIA´S SECRET,BARE,https://www.fragrantica.com/search/?query=VICTORIA%C2%B4S+SECRET+BARE,DP02736,https://glass-essence.com/?s=DP02736&post_type=product,review,medium,
482,DP02661,VICTORIA´S SECRET,BOMBSHELL,https://www.fragrantica.com/search/?query=VICTORIA%C2%B4S+SECRET+BOMBSHELL,DP02661,https://glass-essence.com/?s=DP02661&post_type=product,review,medium,
483,DP02466,VICTORIA´S SECRET,BOMBSHELL NIGHTS,https://www.fragrantica.com/search/?query=VICTORIA%C2%B4S+SECRET+BOMBSHELL+NIGHTS,DP02466,https://glass-essence.com/?s=DP02466&post_type=product,review,medium,
484,DP02737,VICTORIA´S SECRET,BOMBSHELL SUNDRENCHED,https://www.fragrantica.com/search/?query=VICTORIA%C2%B4S+SECRET+BOMBSHELL+SUNDRENCHED,DP02737,https://glass-essence.com/?s=DP02737&post_type=product,review,medium,
485,DP02514,VICTORIA´S SECRET,COCONUT PASSION,https://www.fragrantica.com/search/?query=VICTORIA%C2%B4S+SECRET+COCONUT+PASSION,DP02514,https://glass-essence.com/?s=DP02514&post_type=product,review,medium,
486,DP02351,VICTORIA´S SECRET,EAU SO SEXY,https://www.fragrantica.com/search/?query=VICTORIA%C2%B4S+SECRET+EAU+SO+SEXY,DP02351,https://glass-essence.com/?s=DP02351&post_type=product,review,medium,
487,DP02201,VICTORIA´S SECRET,LIFE IS PINK HOPE PINK,https://www.fragrantica.com/search/?query=VICTORIA%C2%B4S+SECRET+LIFE+IS+PINK+HOPE+PINK,DP02201,https://glass-essence.com/?s=DP02201&post_type=product,review,low,Colección descontinuada; pirámide de información limitada en fuentes públicas.
488,DP02205,VICTORIA´S SECRET,LIFE IS PINK LIVE PINK,https://www.fragrantica.com/search/?query=VICTORIA%C2%B4S+SECRET+LIFE+IS+PINK+LIVE+PINK,DP02205,https://glass-essence.com/?s=DP02205&post_type=product,review,low,Colección descontinuada; validar variante exacta por clave.
489,DP02203,VICTORIA´S SECRET,LIFE IS PINK WISH PINK,https://www.fragrantica.com/search/?query=VICTORIA%C2%B4S+SECRET+LIFE+IS+PINK+WISH+PINK,DP02203,https://glass-essence.com/?s=DP02203&post_type=product,review,low,Colección descontinuada; validar variante exacta por clave.
490,DP02310,VICTORIA´S SECRET,LOVE ME,https://www.fragrantica.com/search/?query=VICTORIA%C2%B4S+SECRET+LOVE+ME,DP02310,https://glass-essence.com/?s=DP02310&post_type=product,review,medium,
491,DP02834,VICTORIA´S SECRET,PINK ALL MY HEART,https://www.fragrantica.com/search/?query=VICTORIA%C2%B4S+SECRET+PINK+ALL+MY+HEART,DP02834,https://glass-essence.com/?s=DP02834&post_type=product,review,low,Nombre/edición de información pública limitada; mantener en revisión.
492,DP02814,VICTORIA´S SECRET,PINK BY PINK,https://www.fragrantica.com/search/?query=VICTORIA%C2%B4S+SECRET+PINK+BY+PINK,DP02814,https://glass-essence.com/?s=DP02814&post_type=product,review,low,Validar si corresponde a Pink by Victoria’s Secret y su edición exacta.
493,DP02350,VICTORIA´S SECRET,SCANDALOUS,https://www.fragrantica.com/search/?query=VICTORIA%C2%B4S+SECRET+SCANDALOUS,DP02350,https://glass-essence.com/?s=DP02350&post_type=product,review,medium,
494,DP02832,VICTORIA´S SECRET,SUN KISSED,https://www.fragrantica.com/search/?query=VICTORIA%C2%B4S+SECRET+SUN+KISSED,DP02832,https://glass-essence.com/?s=DP02832&post_type=product,review,low,Edición estacional; la fórmula puede variar por año.
495,DP02786,VICTORIA´S SECRET,TEASE COCOA SOIRÉE,https://www.fragrantica.com/search/?query=VICTORIA%C2%B4S+SECRET+TEASE+COCOA+SOIR%C3%89E,DP02786,https://glass-essence.com/?s=DP02786&post_type=product,review,medium,
496,DP02780,VICTORIA´S SECRET,VICTORIA´S SECRET BOMBSHELLS IN BLOOM,https://www.fragrantica.com/search/?query=VICTORIA%C2%B4S+SECRET+VICTORIA%C2%B4S+SECRET+BOMBSHELLS+IN+BLOOM,DP02780,https://glass-essence.com/?s=DP02780&post_type=product,review,medium,
497,DP02334,VIKTOR&ROLF,FLOWERBOMB,https://www.fragrantica.com/search/?query=VIKTOR%26ROLF+FLOWERBOMB,DP02334,https://glass-essence.com/?s=DP02334&post_type=product,review,medium,
498,DP02324,YVES SAINT LAURENT,BLACK OPIUM,https://www.fragrantica.com/search/?query=YVES+SAINT+LAURENT+BLACK+OPIUM,DP02324,https://glass-essence.com/?s=DP02324&post_type=product,review,medium,
499,DP02866,YVES SAINT LAURENT,BLACK OPIUM GLITTER,https://www.fragrantica.com/search/?query=YVES+SAINT+LAURENT+BLACK+OPIUM+GLITTER,DP02866,https://glass-essence.com/?s=DP02866&post_type=product,review,medium,
500,DP02756,YVES SAINT LAURENT,BLACK OPIUM LE PARFUM,https://www.fragrantica.com/search/?query=YVES+SAINT+LAURENT+BLACK+OPIUM+LE+PARFUM,DP02756,https://glass-essence.com/?s=DP02756&post_type=product,review,medium,
501,DP02816,YVES SAINT LAURENT,BLACK OPIUM OVER RED,https://www.fragrantica.com/search/?query=YVES+SAINT+LAURENT+BLACK+OPIUM+OVER+RED,DP02816,https://glass-essence.com/?s=DP02816&post_type=product,review,medium,
502,DP02515,YVES SAINT LAURENT,LIBRE,https://www.fragrantica.com/search/?query=YVES+SAINT+LAURENT+LIBRE,DP02515,https://glass-essence.com/?s=DP02515&post_type=product,review,medium,
503,DP02800,YVES SAINT LAURENT,LIBRE L'ABSOLU PLATINE,https://www.fragrantica.com/search/?query=YVES+SAINT+LAURENT+LIBRE+L%27ABSOLU+PLATINE,DP02800,https://glass-essence.com/?s=DP02800&post_type=product,review,medium,
504,DP02695,YVES SAINT LAURENT,LIBRE LE PARFUM,https://www.fragrantica.com/search/?query=YVES+SAINT+LAURENT+LIBRE+LE+PARFUM,DP02695,https://glass-essence.com/?s=DP02695&post_type=product,review,medium,
505,UP01171,AFNAN,9AM DIVE,https://www.fragrantica.com/search/?query=AFNAN+9AM+DIVE,UP01171,https://glass-essence.com/?s=UP01171&post_type=product,review,medium,
506,UP01092,AL HARAMAIN,AMBER OUD GOLD EDITION,https://www.fragrantica.com/search/?query=AL+HARAMAIN+AMBER+OUD+GOLD+EDITION,UP01092,https://glass-essence.com/?s=UP01092&post_type=product,review,medium,
507,UP01077,AMOUGE,GUIDANCE,https://www.fragrantica.com/search/?query=AMOUGE+GUIDANCE,UP01077,https://glass-essence.com/?s=UP01077&post_type=product,review,medium,El diseñador aparece como AMOUGE en catálogo; conservar clave e identidad operativa y validar ortografía pública Amouage.
508,UP01170,ARMAF,ODYSSEY DUBAI CHOCOLAT,https://www.fragrantica.com/search/?query=ARMAF+ODYSSEY+DUBAI+CHOCOLAT,UP01170,https://glass-essence.com/?s=UP01170&post_type=product,review,medium,Lanzamiento reciente; validar pirámide exacta por clave.
509,UP01101,BILLIE EILISH,EILISH NO. 3,https://www.fragrantica.com/search/?query=BILLIE+EILISH+EILISH+NO.+3,UP01101,https://glass-essence.com/?s=UP01101&post_type=product,review,medium,
510,UP01174,BILLIE EILISH,YOUR TURN,https://www.fragrantica.com/search/?query=BILLIE+EILISH+YOUR+TURN,UP01174,https://glass-essence.com/?s=UP01174&post_type=product,review,medium,Lanzamiento reciente; confirmar fórmula oficial definitiva.
511,UP01042,BY KILIAN,ANGEL'S SHARE,https://www.fragrantica.com/search/?query=BY+KILIAN+ANGEL%27S+SHARE,UP01042,https://glass-essence.com/?s=UP01042&post_type=product,review,medium,
512,UP01018,BY KILIAN,BLACK PHANTOM,https://www.fragrantica.com/search/?query=BY+KILIAN+BLACK+PHANTOM,UP01018,https://glass-essence.com/?s=UP01018&post_type=product,review,medium,
513,UP01017,CALVIN KLEIN,CK BE,https://www.fragrantica.com/search/?query=CALVIN+KLEIN+CK+BE,UP01017,https://glass-essence.com/?s=UP01017&post_type=product,review,medium,
514,UP01002,CALVIN KLEIN,CK ONE,https://www.fragrantica.com/search/?query=CALVIN+KLEIN+CK+ONE,UP01002,https://glass-essence.com/?s=UP01002&post_type=product,review,medium,
515,UP01005,CREED,MILLÉSIME IMPÉRIAL,https://www.fragrantica.com/search/?query=CREED+MILL%C3%89SIME+IMP%C3%89RIAL,UP01005,https://glass-essence.com/?s=UP01005&post_type=product,review,medium,
